id,proponente_id,projeto,setor,macrosetor,impacto-esperado,status,alcance geográfico,público-alvo
468,468,Iniciativa Diversidade na Natura,Social,Serviços Sociais,Social,Em andamento,Local,Consumidores
469,469,Projeto de Inovação na PepsiCo,Tecnologia,Tecnologia e Inovação,"Científico, Econômico",Em andamento,Nacional,Funcionários
470,470,Ações de Felicidade na Farmapar,Saúde,Saúde e Bem-estar,Social,Em planejamento,Local,População
471,471,SaúdeSegura,Saúde,Saúde e Bem-estar,"Social, Econômico",Em andamento,Nacional,Funcionários
472,472,TechBridge: Treinamento de Habilidades Digitais para Jovens Desempregados,"Educação, Tecnologia",Educação,Social,Em planejamento,Nacional,População
473,473,AURA (Ações Unificadas para Revitalização Ambiental),Ambiental,Meio Ambiente,Ambiental,Em andamento,Local,Funcionários
474,474,Iniciativa de Ecologia Computacional,Ecologia,Meio Ambiente,Científico,Em planejamento,Local,Funcionários
475,475,LógicaLuneta,Astronomia,Ciência e Pesquisa,Científico,Em planejamento,Nacional,Consumidores
476,476,Capacitação e Desenvolvimento,Educação,Educação,Econômico,Em andamento,Nacional,Empresas
477,477,Mar de Ideias,Inovação,Empreendedorismo e Inovação,"Econômico, Científico",Em planejamento,Nacional,Empresas
478,478,Conquer,Desenvolvimento Pessoal,Educação,Social,Em andamento,Nacional,Empresas
479,479,GrafenoGirassol,Nanotecnologia,Tecnologia e Inovação,"Econômico, Científico",Em andamento,Local,Funcionários e Empresas
480,480,GreenTech: Tecnologia Sustentável,Tecnologia Ambiental,Tecnologia e Meio Ambiente,"Ambiental, Econômico",Em planejamento,Nacional,Consumidores
481,481,Programa Empoderamento na Raízen,Social,Serviços Sociais,Econômico,Em andamento,Local,"Consumidores, Empresas e Governo"
482,482,AeroNex,Tecnologia,Tecnologia e Inovação,"Ambiental, Econômico",Em andamento,Local,Funcionários e Empresas
483,483,GreenTech Innovations,Inovações em Tecnologia Verde,Tecnologia e Meio Ambiente,"Ambiental, Econômico",Em andamento,Nacional,Funcionários
484,484,Formação Fértil,Educação,Educação,"Social, Econômico",Em andamento,Local,Consumidores e Empresas
485,485,Thrive,Desenvolvimento Comunitário,Desenvolvimento Comunitário,"Social, Econômico",Em andamento,Nacional,Empresas
486,486,Castelo da Cultura,Cultura,Arte e Cultura,Social,Em planejamento,Local,Funcionários e Empresas
487,487,Estudos de Retenção de Talentos,Educação,Educação,Econômico,Em planejamento,Local,Consumidores e Empresas
488,488,Lanterna do Conhecimento,Educação,Educação,Social,Em andamento,Local,"Consumidores, Empresas e Governo"
489,489,TranscendXpress,Transporte,Transporte e Logística,"Ambiental, Econômico",Em planejamento,Local,Consumidores e Empresas
490,490,Programa Acelera Negócios,Empreendedorismo,Empreendedorismo e Inovação,Econômico,Em planejamento,Local,População
491,491,CRISPR na Edição de Microrganismos,Biotecnologia,Engenharia,Científico,Em andamento,Local,Consumidores
492,492,Workshops Wellness (Bem-Estar),Saúde,Saúde e Bem-estar,Social,Em andamento,Local,Empresas
493,493,LAGO (Liderança e Ação para Gestão Organizada),Ambiental,Meio Ambiente,"Econômico, Ambiental",Em andamento,Local,Empresas
494,494,Projeto de Robótica Autônoma,Tecnologia,Tecnologia e Inovação,"Científico, Econômico",Em andamento,Local,"Consumidores, Empresas e Governo"
495,495,UneUniversos,Cultura,Arte e Cultura,Social,Em planejamento,Nacional,Funcionários
496,496,HealthTech Innovations,"Tecnologia, Saúde",Tecnologia e Inovação,"Científico, Econômico",Em andamento,Local,Consumidores e Empresas
497,497,Projeto de Gestão de Desempenho Individual,Recursos Humanos,Gestão e Recursos Humanos,"Social, Econômico",Em andamento,Local,Funcionários
498,498,Estudos de Gestão da Mudança,Educação,Educação,Econômico,Em andamento,Nacional,Empresas
499,499,Programa de Engenharia Genética,Biotecnologia,Engenharia,Científico,Em planejamento,Local,Funcionários
500,500,Onde Estão as Soluções?,Tecnologia,Tecnologia e Inovação,"Econômico, Científico",Em andamento,Local,Funcionários
501,501,Iniciativa Diversidade na Suzano,Social,Serviços Sociais,Social,Em andamento,Local,Funcionários
502,502,Quando Mudar?,Desenvolvimento Pessoal,Educação,Social,Em andamento,Nacional,Empresas
503,503,Raio de Luz,Educação,Educação,Social,Em planejamento,Nacional,Funcionários
504,504,Estudos de Desenvolvimento Pessoal,Educação,Educação,Econômico,Em andamento,Local,"Consumidores, Empresas e Governo"
505,505,MobilidadeMalva,Transporte,Transporte e Logística,"Econômico, Ambiental",Em andamento,Nacional,Funcionários e Empresas
506,506,ForçaFutura,Educação,Educação,"Social, Científico",Em andamento,Local,População
507,507,Kiwi do Conhecimento,Educação,Educação,Científico,Em andamento,Nacional,Consumidores e Empresas
508,508,Sustainable Cities Initiative: Projeto de Renovação Urbana,Sustentabilidade,Sustentabilidade,"Ambiental, Econômico",Em andamento,Nacional,Funcionários
509,509,ReciclaRhodonita,Reciclagem,Meio Ambiente,"Ambiental, Econômico",Em planejamento,Local,Funcionários
510,510,Projeto de Capacitação Profissional,Educação,Educação,"Social, Econômico",Em planejamento,Local,Empresas
511,511,Iniciativa de Redução do Uso de Plástico em Embalagens de Alimentos,Sustentabilidade,Sustentabilidade,Ambiental,Em andamento,Local,Funcionários
512,512,Sustainable Agriculture Initiative: Práticas de Agricultura Sustentável,Agricultura,Agricultura e Alimentação,"Ambiental, Econômico",Em andamento,Nacional,Consumidores
513,513,Questões Qualitativas,Educação,Educação,"Social, Científico",Em andamento,Local,Funcionários
514,514,Desenvolvimento de Equipe,Educação,Educação,Econômico,Em andamento,Local,"Consumidores, Empresas e Governo"
515,515,Desenvolvimento Dedicado,Econômico,Economia e Finanças,"Econômico, Social",Em planejamento,Nacional,Funcionários
516,516,ConstruyeInclusión,Social,Serviços Sociais,Social,Em andamento,Local,Empresas
517,517,Ascend,Educação,Educação,"Social, Econômico",Em planejamento,Local,Consumidores e Empresas
518,518,Balança do Bem,Social,Serviços Sociais,"Social, Ético",Em andamento,Local,Empresas
519,519,Neurociência Computacional e IA,Científico,Ciência e Pesquisa,Científico,Em andamento,Local,Empresas
520,520,Viva Voce (Com a Voz),Social,Serviços Sociais,"Social, Cultural",Em andamento,Nacional,Consumidores e Empresas
521,521,ImpulsaBienestar,Saúde,Saúde e Bem-estar,Social,Em andamento,Nacional,"Consumidores, Empresas e Governo"
522,522,PlanetaPeridoto,Sustentabilidade,Sustentabilidade,"Ambiental, Social",Em andamento,Local,Consumidores e Empresas
523,523,PINHO (Preservação Integrada de Habitats e Oportunidades Naturais),Ambiental,Meio Ambiente,"Ambiental, Econômico",Em andamento,Local,População
524,524,KinéticaKiwi,Física,Ciência e Pesquisa,Científico,Em planejamento,Nacional,Consumidores e Empresas
525,525,ImpulsaEmpreendedorismo,Empreendedorismo,Empreendedorismo e Inovação,"Econômico, Social",Em andamento,Local,Funcionários
526,526,Programa Impulso Empreendedor,Empreendedorismo,Empreendedorismo e Inovação,"Econômico, Social",Em andamento,Local,Consumidores e Empresas
527,527,GeneGênio,Genética,Ciência e Pesquisa,Científico,Em planejamento,Nacional,População
528,528,ConstróiNegócios,Empreendedorismo,Empreendedorismo e Inovação,"Econômico, Social",Em andamento,Local,Funcionários
529,529,Excelência Pessoal,Educação,Educação,Econômico,Em planejamento,Local,Funcionários
530,530,Céu de Possibilidades,TI,Tecnologia e Informação,"Econômico, Científico",Em planejamento,Local,"Consumidores, Empresas e Governo"
531,531,SmartHome Solutions,Tecnologia,Tecnologia e Inovação,"Econômico, Ambiental",Em andamento,Local,População
532,532,Santé Solidaire (Saúde Solidária),Saúde,Saúde e Bem-estar,Social,Em andamento,Local,"Consumidores, Empresas e Governo"
533,533,Projeto de Inclusão na Oracle,Social,Serviços Sociais,Social,Em andamento,Local,Empresas
534,534,Projeto de Inclusão na Visa,Social,Serviços Sociais,Social,Em andamento,Local,Funcionários
535,535,TransformaTerra,Sustentabilidade,Sustentabilidade,"Ambiental, Social",Em andamento,Nacional,População
536,536,Workshops de Wellbeing,Saúde Mental,Saúde e Bem-estar,Social,Em andamento,Local,Funcionários
537,537,KármicoKale,Nutrição,Saúde e Bem-estar,"Social, Saúde",Em planejamento,Local,Funcionários
538,538,AgroInteligente,Agricultura,Agricultura e Alimentação,"Econômico, Ambiental",Em andamento,Local,Funcionários
539,539,SmartCity Transport,"Transporte, Tecnologia",Transporte e Logística,"Ambiental, Econômico",Em andamento,Nacional,Funcionários
540,540,Projeto de Inovação na Amazon,Tecnologia,Tecnologia e Inovação,"Científico, Econômico",Em andamento,Local,"Consumidores, Empresas e Governo"
541,541,Programa Empoderamento na B2W Digital,Social,Serviços Sociais,Econômico,Em planejamento,Local,Empresas
542,542,CONTA (Consciência e Oportunidade Numa Transformação Ambiental),Ambiental,Meio Ambiente,Ambiental,Em andamento,Nacional,Consumidores e Empresas
543,543,GreenTech Travel,"Transporte, Tecnologia",Transporte e Logística,"Ambiental, Econômico",Em andamento,Local,Funcionários
544,544,AquaRide,Transporte Aquático,Transporte e Logística,"Econômico, Ambiental",Em planejamento,Nacional,Consumidores e Empresas
545,545,Quest,Educação,Educação,"Social, Científico",Em andamento,Local,Empresas
546,546,Grifo de Gestão,Negócios,Desenvolvimento Econômico e Empresarial,"Econômico, Organizacional",Em andamento,Nacional,Funcionários e Empresas
547,547,Escola Nota 10,Educação,Educação,Social,Em andamento,Local,Empresas
548,548,Labirinto de Ideias,TI,Tecnologia e Informação,"Econômico, Científico",Em andamento,Nacional,Funcionários e Empresas
549,549,CulturaInclusiva,Cultura,Arte e Cultura,Social,Em andamento,Local,Consumidores e Empresas
550,550,ÓrbitaOrgânica,Agricultura,Agricultura e Alimentação,"Ambiental, Econômico",Em andamento,Nacional,Funcionários e Empresas
551,551,Iniciativa Harmonia,Saúde Mental,Saúde e Bem-estar,Social,Em andamento,Nacional,População
552,552,Cronos de Crescimento,Econômico,Economia e Finanças,Econômico,Em andamento,Nacional,Empresas
553,553,Soluções Sustentáveis,Ambiental,Meio Ambiente,"Ambiental, Econômico",Em planejamento,Nacional,Consumidores e Empresas
554,554,Iniciativa Diversidade na Braskem,Social,Serviços Sociais,Social,Em andamento,Local,População
555,555,Programa de Transformação na Facebook,Tecnologia,Tecnologia e Inovação,"Científico, Social",Em andamento,Nacional,Funcionários
556,556,Projeto de Engenharia de Materiais Avançados,Engenharia de Materiais,Engenharia,"Científico, Econômico",Em andamento,Local,Funcionários e Empresas
557,557,Sísifo Sistêmico,Tecnologia,Tecnologia e Inovação,"Econômico, Organizacional",Em andamento,Local,Funcionários
558,558,Projeto de Implantação de Sistemas de Energia Solar em Comunidades Isoladas,Energia,Energia e Recursos,"Ambiental, Social",Em andamento,Nacional,Consumidores e Empresas
559,559,Desafío+Progreso,Educação,Educação,Econômico,Em andamento,Local,"Consumidores, Empresas e Governo"
560,560,UrbanEcoTransit,Transporte Urbano,Desenvolvimento Urbano e Infraestrutura,"Ambiental, Econômico",Em planejamento,Local,Funcionários e Empresas
561,561,NexoNatural,Ambiental,Meio Ambiente,"Ambiental, Científico",Em andamento,Nacional,Funcionários e Empresas
562,562,EducaDigital,Educação Tecnológica,Tecnologia e Educação,Social,Em andamento,Local,Funcionários e Empresas
563,563,Programa Empoderamento na Natura,Social,Serviços Sociais,Econômico,Em planejamento,Nacional,Funcionários e Empresas
564,564,Desenvolvimento de Líderes para inclusão de PCDs,Educação,Educação,Social,Em andamento,Local,Funcionários
565,565,Vínculos Vitais,Social,Serviços Sociais,Social,Em planejamento,Local,Empresas
566,566,Cérebro Saudável,Saúde,Saúde e Bem-estar,Social,Em planejamento,Local,Empresas
567,567,Karma Kinetic (Cinética do Karma),Tecnologia,Tecnologia e Inovação,"Econômico, Científico",Em planejamento,Local,"Consumidores, Empresas e Governo"
568,568,YogaYasmim,Bem-estar,Saúde e Bem-estar,Social,Em planejamento,Local,Empresas
569,569,Arte Abstracta,Arte,Arte e Cultura,Cultural,Em planejamento,Local,"Consumidores, Empresas e Governo"
570,570,Inclusão e Pertencimento,Social,Serviços Sociais,Social,Em andamento,Nacional,"Consumidores, Empresas e Governo"
571,571,Tempo Tranquilo,Bem-estar,Saúde e Bem-estar,Social,Em andamento,Nacional,Funcionários e Empresas
572,572,Fausto em Finanças,Finanças,Economia e Finanças,Econômico,Em planejamento,Local,Funcionários
573,573,Ações de Preservação de Ecossistemas Aquáticos,Sustentabilidade,Sustentabilidade,Ambiental,Em andamento,Nacional,Consumidores e Empresas
574,574,XenonXilofone,Física,Ciência e Pesquisa,Científico,Em andamento,Local,Funcionários
575,575,EcoAviation,Aviação Sustentável,Sustentabilidade,"Ambiental, Econômico",Em andamento,Nacional,"Consumidores, Empresas e Governo"
576,576,Programa de Capacitação em Tecnologia para Idosos,"Educação, Tecnologia",Educação,Social,Em andamento,Nacional,"Consumidores, Empresas e Governo"
577,577,Zelo Zen,Desenvolvimento Pessoal,Educação,Social,Em andamento,Nacional,Funcionários
578,578,TodosTriunfo,Educação,Educação,Social,Em andamento,Local,Funcionários
579,579,Desafío+Transformación,Educação,Educação,Social,Em planejamento,Local,Empresas
580,580,Projeto de Reciclagem de Eletroeletrônicos,"Tecnologia, Sustentabilidade",Tecnologia e Inovação,Ambiental,Em andamento,Local,Empresas
581,581,UrbanMobility Solutions,Tecnologia,Tecnologia e Inovação,"Ambiental, Econômico",Em andamento,Local,População
582,582,Desenvolvimento de Nanorrobôs para Medicina,Científico,Ciência e Pesquisa,"Social, Científico",Em andamento,Local,Empresas
583,583,Kiosque de Conhecimento,Educação,Educação,"Social, Científico",Em planejamento,Local,Funcionários
584,584,CleanEnergy Transport,"Transporte, Tecnologia",Transporte e Logística,"Ambiental, Econômico",Em andamento,Nacional,Funcionários
585,585,Programa Empoderamento na Gerdau,Social,Serviços Sociais,Econômico,Em andamento,Local,Consumidores
586,586,Quíron Quântico,Científico,Ciência e Pesquisa,Científico,Em andamento,Nacional,Funcionários
587,587,EcoMove,Sustentabilidade,Sustentabilidade,Ambiental,Em andamento,Local,Funcionários e Empresas
588,588,Quando É Tarde Demais?,Conscientização Ambiental,Meio Ambiente,Ambiental,Em andamento,Local,Funcionários e Empresas
589,589,Parceria com Escolas para Criação de Horta Escolar Vertical em Ambientes Urbanos,"Educação, Agricultura",Educação,"Ambiental, Social",Em planejamento,Local,Empresas
590,590,Projeto Igualdade na Azul,Social,Serviços Sociais,Social,Em andamento,Nacional,População
591,591,Projeto de Implantação de Sistemas de Energia Eólica em Zonas Industriais,Energia,Energia e Recursos,"Ambiental, Econômico",Em andamento,Local,Funcionários
592,592,Ações de Bem-Estar na SaúdeTotal,Saúde,Saúde e Bem-estar,Social,Em planejamento,Nacional,Funcionários
593,593,Projeto Vida Saudável,Saúde,Saúde e Bem-estar,Social,Em andamento,Local,Empresas
594,594,Caminho Verde: Projeto de Mobilidade Sustentável,Transporte,Transporte e Logística,Ambiental,Em andamento,Local,Funcionários e Empresas
595,595,IA em Diagnóstico Médico por Imagem,Inteligência Artificial na Medicina,Tecnologia e Saúde,Científico,Em planejamento,Nacional,"Consumidores, Empresas e Governo"
596,596,Programa de Capacitação em Agricultura Orgânica para Pequenos Produtores,"Educação, Agricultura",Educação,"Ambiental, Social",Em andamento,Nacional,Empresas
597,597,"Ações de bem estar, saúde e felicidade na Thyssenkrupp",Saúde,Saúde e Bem-estar,Social,Em planejamento,Nacional,"Consumidores, Empresas e Governo"
598,598,Campanha de Sensibilização para a Adoção de Transporte Público em Áreas Urbanas,"Transporte, Social",Transporte e Logística,"Social, Ambiental",Em andamento,Local,Consumidores
599,599,Desenvolvimento de Tecnologia para Reciclagem de Plásticos,"Tecnologia, Sustentabilidade",Tecnologia e Inovação,Ambiental,Em andamento,Local,Funcionários
600,600,Proyecto de Desarrollo de Talento,Educação,Educação,Econômico,Em planejamento,Local,Consumidores
601,601,Escudo Ambiental,Sustentabilidade,Sustentabilidade,Ambiental,Em planejamento,Local,Empresas
602,602,OrganizaçãoÓpalo,Gestão,Estratégia e Gestão,Econômico,Em andamento,Local,Empresas
603,603,Projeto Harmony: Iniciativa de Construção Comunitária Inter-religiosa,Desenvolvimento Comunitário,Desenvolvimento Comunitário,Social,Em planejamento,Local,"Consumidores, Empresas e Governo"
604,604,Iniciativa de Bem-Estar no Trabalho,Saúde,Saúde e Bem-estar,Social,Em andamento,Nacional,Empresas
605,605,Iniciativa Diversidade na Bradesco,Social,Serviços Sociais,Social,Em andamento,Local,Funcionários e Empresas
606,606,ResíduoResponsável,Ambiental,Meio Ambiente,"Ambiental, Social",Em planejamento,Local,Funcionários e Empresas
607,607,Iniciativa de Educação Ambiental para Crianças em Situação de Vulnerabilidade,Educação,Educação,"Ambiental, Social",Em andamento,Local,Consumidores
608,608,Projeto de Valorização da Cultura Local em Bairros Multiculturais,"Social, Cultural",Serviços Sociais,Social,Em andamento,Nacional,Funcionários
609,609,Desenvolvimento de Tecnologia para Monitoramento de Poluição Sonora,"Tecnologia, Meio Ambiente",Tecnologia e Inovação,Ambiental,Em andamento,Local,Consumidores e Empresas
610,610,ProjectEco: Projeto Ecológico,Sustentabilidade,Sustentabilidade,Ambiental,Em planejamento,Local,Consumidores e Empresas
611,611,CRISPR-Cas12 para Detecção de Marcadores Genéticos,Biotecnologia,Engenharia,Científico,Em andamento,Nacional,Funcionários
612,612,ExoXisto,Astronomia,Ciência e Pesquisa,Científico,Em andamento,Nacional,Funcionários e Empresas
613,613,Projeto Nova Era,Desenvolvimento Pessoal,Educação,Social,Em andamento,Nacional,População
614,614,Programa Startup Booster,Aceleração de Startups,Empreendedorismo e Inovação,Econômico,Em andamento,Nacional,Funcionários
615,615,Projeto Equidade na Cielo,Social,Serviços Sociais,Social,Em planejamento,Local,Consumidores e Empresas
616,616,OCEANO (Oportunidades Comunitárias e Educação Ambiental no Nosso entorno),Educação,Educação,"Ambiental, Social",Em andamento,Local,Funcionários e Empresas
617,617,Iniciativa de Redução do Consumo de Água em Condomínios Residenciais,Sustentabilidade,Sustentabilidade,"Ambiental, Social",Em planejamento,Nacional,Funcionários
618,618,Campanha de Reciclagem de Resíduos Eletrônicos em Escolas,Educação,Educação,"Ambiental, Social",Em andamento,Nacional,Funcionários
619,619,Projeto Igualdade na JBS,Social,Serviços Sociais,Social,Em andamento,Nacional,Consumidores e Empresas
620,620,UrbanMove,TI,Tecnologia e Informação,Econômico,Em planejamento,Local,Funcionários
621,621,IA em Descoberta de Biomarcadores Genéticos,Genética,Ciência e Pesquisa,Científico,Em andamento,Nacional,Consumidores e Empresas
622,622,Programa de Bem-Estar na Netflix,Saúde,Saúde e Bem-estar,Social,Em andamento,Local,Funcionários
623,623,Iniciativa de Mentoria Profissional,Educação,Educação,"Econômico, Social",Em andamento,Local,População
624,624,PromoveEducação,Educação,Educação,Social,Em andamento,Nacional,População
625,625,Projeto de Gestão de Conflitos,Recursos Humanos,Gestão e Recursos Humanos,Social,Em planejamento,Nacional,Consumidores e Empresas
626,626,Nurture,Educação,Educação,"Social, Científico",Em andamento,Nacional,"Consumidores, Empresas e Governo"
627,627,Crescimento e Desenvolvimento,Educação,Educação,Econômico,Em andamento,Local,"Consumidores, Empresas e Governo"
628,628,GRÃO (Gestão de Recursos Ambientais e Oportunidades Naturais),Ambiental,Meio Ambiente,"Ambiental, Econômico",Em andamento,Local,Consumidores
629,629,Innovation for Inclusion: Technology Training for Persons with Disabilities,Tecnologia Assistiva,Tecnologia e Inovação,Social,Em planejamento,Local,Funcionários
630,630,Iniciativa Diversidade na Duratex,Social,Serviços Sociais,Social,Em andamento,Nacional,Consumidores
631,631,FloraFeldspato,Botânica,Ciência e Pesquisa,Ambiental,Em andamento,Nacional,Empresas
632,632,Talos Tecnológico,Tecnologia,Tecnologia e Inovação,"Econômico, Científico",Em andamento,Nacional,População
633,633,Jornada Jurídica,Social,Serviços Sociais,"Social, Legal",Em andamento,Local,Funcionários e Empresas
634,634,Projeto Valores Compartilhados,Social,Serviços Sociais,Social,Em andamento,Local,Consumidores
635,635,InnovaEquidad,Social,Serviços Sociais,Social,Em planejamento,Nacional,Consumidores e Empresas
636,636,Transformação Organizacional,Educação,Educação,Econômico,Em planejamento,Nacional,Funcionários
637,637,ExpandeEmpatia,Saúde Mental,Saúde e Bem-estar,Social,Em andamento,Local,Consumidores e Empresas
638,638,Geração Global,Social,Serviços Sociais,"Social, Econômico",Em andamento,Nacional,Empresas
639,639,Iniciativa de Desenvolvimento de Talentos,Educação,Educação,Econômico,Em andamento,Local,Funcionários
640,640,Iniciativa de Análise de Dados Ambientais,Ciência Ambiental,Meio Ambiente,Científico,Em andamento,Local,"Consumidores, Empresas e Governo"
641,641,Estudos de Supercondutividade em Materiais Quânticos,Física Quântica,Ciência e Pesquisa,Científico,Em andamento,Local,População
642,642,Mobilidade Máxima,Transporte,Transporte e Logística,"Econômico, Social",Em planejamento,Nacional,"Consumidores, Empresas e Governo"
643,643,FOCO (Formação e Oportunidade para Criação de Oportunidades),Educação,Educação,"Econômico, Social",Em planejamento,Nacional,Funcionários
644,644,Kreativ Kraft (Força Criativa),Cultura,Arte e Cultura,"Cultural, Econômico",Em planejamento,Local,Empresas
645,645,Kinética Cultural,Cultura,Arte e Cultura,"Cultural, Social",Em andamento,Local,Empresas
646,646,FOCA (Formação e Oportunidades para Comunidades Ativas),Educação,Educação,"Social, Econômico",Em andamento,Local,Consumidores
647,647,Programa Saúde Mental,Saúde,Saúde e Bem-estar,Social,Em andamento,Local,Funcionários e Empresas
648,648,Educação Verde: Sustentabilidade nas Escolas,Educação Ambiental,Educação e Meio Ambiente,"Ambiental, Social",Em andamento,Local,Empresas
649,649,Mercado Multicultural,Cultura,Arte e Cultura,"Cultural, Econômico",Em andamento,Nacional,Funcionários
650,650,ImpulsaDesarrollo,Educação,Educação,Econômico,Em planejamento,Nacional,Funcionários
651,651,Projeto de Gestão de Crises,Gestão,Estratégia e Gestão,"Econômico, Social",Em andamento,Nacional,"Consumidores, Empresas e Governo"
652,652,Pursue,Educação,Educação,"Social, Científico",Em planejamento,Nacional,Consumidores e Empresas
653,653,IA em Modelagem Climática Global,Climatologia,Meio Ambiente,"Ambiental, Científico",Em andamento,Nacional,"Consumidores, Empresas e Governo"
654,654,TransTech Ventures,Tecnologia em Transportes,Transporte e Tecnologia,"Econômico, Científico",Em andamento,Local,"Consumidores, Empresas e Governo"
655,655,Gracia Verde (Graça Verde),Ambiental,Meio Ambiente,"Ambiental, Social",Em planejamento,Local,Funcionários
656,656,Interseccionalidade nas lideranças,Recursos Humanos,Gestão e Recursos Humanos,Social,Em andamento,Nacional,"Consumidores, Empresas e Governo"
657,657,Programa Inclusão na Odebrecht,Social,Serviços Sociais,Social,Em planejamento,Local,"Consumidores, Empresas e Governo"
658,658,DriveSphere,TI,Tecnologia e Informação,Econômico,Em andamento,Local,"Consumidores, Empresas e Governo"
659,659,Proj. Youth: Projeto Juventude,Desenvolvimento Juvenil,Educação,Social,Em planejamento,Nacional,Consumidores
660,660,TechTalentos,TI,Tecnologia e Informação,"Econômico, Científico",Em planejamento,Local,População
661,661,Desenvolvimento de Tecnologia para Agricultura Sustentável,"Tecnologia, Agricultura",Tecnologia e Inovação,"Ambiental, Econômico",Em andamento,Nacional,População
662,662,Caminho Verde: Promoção da Mobilidade Sustentável,Transporte,Transporte e Logística,Ambiental,Em andamento,Local,Funcionários
663,663,Projeto de Engenharia de Biomateriais,Engenharia Biomédica,Engenharia,"Científico, Econômico",Em planejamento,Local,"Consumidores, Empresas e Governo"
664,664,GreenTech Solutions: Soluções Tecnológicas Sustentáveis,"Tecnologia, Sustentabilidade",Tecnologia e Inovação,Ambiental,Em planejamento,Local,Consumidores e Empresas
665,665,Programa Transforme-se,Saúde,Saúde e Bem-estar,Social,Em andamento,Local,Consumidores e Empresas
666,666,EcoLogistics,Sustentabilidade,Sustentabilidade,"Ambiental, Econômico",Em planejamento,Local,Funcionários
667,667,Beyond Borders: Promoção da Diversidade e Inclusão,Social,Serviços Sociais,Social,Em andamento,Local,Consumidores e Empresas
668,668,Desenvolvimento de Talentos,Educação,Educação,Econômico,Em andamento,Local,Empresas
669,669,LER (Liberdade de Expressão e Reflexão),Educação,Educação,"Social, Cultural",Em andamento,Local,Empresas
670,670,Whispering Wind (Sussurro do Vento),Ambiental,Meio Ambiente,Ambiental,Em andamento,Local,Funcionários e Empresas
671,671,Ações de Saúde Mental na Pharmex,Saúde,Saúde e Bem-estar,Social,Em andamento,Local,Consumidores e Empresas
672,672,EducaAmbiental,Educação Ambiental,Educação e Meio Ambiente,"Ambiental, Social",Em andamento,Nacional,Funcionários e Empresas
673,673,Programa Inclusão na Santander,Social,Serviços Sociais,Social,Em planejamento,Local,Funcionários
674,674,SkyShift,TI,Tecnologia e Informação,Econômico,Em andamento,Local,"Consumidores, Empresas e Governo"
675,675,EducaInclusão,Educação Inclusiva,Educação,Social,Em andamento,Nacional,População
676,676,Saúde Pública,Saúde Pública,Saúde e Bem-estar,Social,Em andamento,Nacional,Consumidores e Empresas
677,677,Parceria com ONGs para Preservação de Corais em Áreas Costeiras,Sustentabilidade,Sustentabilidade,Ambiental,Em planejamento,Local,Consumidores e Empresas
678,678,IA em Diagnóstico Precoce de Doenças,Inteligência Artificial na Medicina,Tecnologia e Saúde,Científico,Em planejamento,Nacional,Consumidores
679,679,Rêve Réalité (Sonho Realidade),Social,Serviços Sociais,"Social, Cultural",Em andamento,Nacional,População
680,680,Proyecto Impacto Positivo,Social,Serviços Sociais,Social,Em planejamento,Nacional,Empresas
681,681,SmartMove,TI,Tecnologia e Informação,Econômico,Em andamento,Local,Funcionários
682,682,Projeto de Equilíbrio entre Trabalho e Vida Pessoal,Recursos Humanos,Gestão e Recursos Humanos,Social,Em andamento,Local,Funcionários e Empresas
683,683,Por Que a Educação Transforma?,Educação,Educação,Social,Em andamento,Local,População
684,684,Lírio de Lore,Educação,Educação,"Cultural, Social",Em andamento,Local,Funcionários
685,685,GreenTech: Tecnologia Ambiental,Tecnologia Ambiental,Tecnologia e Meio Ambiente,"Ambiental, Econômico",Em andamento,Local,Consumidores e Empresas
686,686,Programa Equidade na Petrobras,Social,Serviços Sociais,Social,Em andamento,Local,Consumidores e Empresas
687,687,EcoTrans Ventures,Transporte Sustentável,Sustentabilidade,"Ambiental, Econômico",Em planejamento,Local,Empresas
688,688,Tecnologia Tranquila,Tecnologia,Tecnologia e Inovação,"Econômico, Social",Em andamento,Nacional,"Consumidores, Empresas e Governo"
689,689,TerraTecnologia,TI,Tecnologia e Informação,"Econômico, Ambiental",Em andamento,Local,População
690,690,WebWisteria,TI,Tecnologia e Informação,Econômico,Em andamento,Nacional,Funcionários
691,691,Iniciativa do Desempenho,Educação,Educação,Econômico,Em planejamento,Local,Funcionários
692,692,Programa de Integridade - Selo Pró Ética,Governança,Direito e Governança,"Econômico, Social",Em andamento,Nacional,Consumidores e Empresas
693,693,Biotecnologia Brilhante,Biotecnologia,Engenharia,"Científico, Econômico",Em planejamento,Nacional,Funcionários
694,694,Programa de Capacitação em Empreendedorismo para Refugiados,Educação,Educação,"Social, Econômico",Em planejamento,Local,População
695,695,Iniciativa de Análise de Dados Genômicos,Genômica,Ciência e Pesquisa,Científico,Em planejamento,Local,"Consumidores, Empresas e Governo"
696,696,Project Harmony: Building Interfaith Dialogue and Cooperation,Desenvolvimento Comunitário,Desenvolvimento Comunitário,Social,Em andamento,Local,Funcionários
697,697,Iniciativa de Educação Ambiental para Crianças em Situação de Risco,Educação,Educação,"Ambiental, Social",Em andamento,Nacional,Funcionários
698,698,SONHA (Soluções Oníricas para Necessidades Humanas e Ambientais),Educação,Educação,"Social, Ambiental",Em planejamento,Nacional,Consumidores e Empresas
699,699,VIGIA (Vigilância Integrada para Gestão e Impacto Ambiental),Ambiental,Meio Ambiente,Ambiental,Em planejamento,Local,Funcionários
